id,adhoc,call_id,cospace,current_participants,datetime,forwarding,hour,locked,lync_conferencing,max_participants,mean_participants,recording,streaming,time_diff,week_day_number
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:15:48.222202,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:15:48.222+0000,False,8,False,False,0,NaN,True,False,265,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:25.082311,False,eee585f7-7558-469c-8550-97671c065bdb,False,2,2020-06-08 06:11:25.082+0000,False,8,False,False,0,NaN,False,False,1,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:13:41.907651,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:13:41.907+0000,False,8,False,False,0,NaN,True,False,138,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:14:24.015838,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:14:24.015+0000,False,8,False,False,0,NaN,True,False,180,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:35.875666,False,eee585f7-7558-469c-8550-97671c065bdb,False,4,2020-06-08 06:12:35.875+0000,False,8,False,False,0,NaN,False,False,72,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:35.590104,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:11:35.590+0000,False,8,False,False,0,NaN,True,False,12,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:13:50.05827,False,eee585f7-7558-469c-8550-97671c065bdb,False,4,2020-06-08 06:13:50.058+0000,False,8,False,False,0,NaN,False,False,146,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:59.791472,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:12:59.791+0000,False,8,False,False,0,NaN,True,False,96,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:23.140178,False,eee585f7-7558-469c-8550-97671c065bdb,True,0,2020-06-08 06:11:23.140+0000,False,8,True,False,0,0,True,False,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:20.574509,False,eee585f7-7558-469c-8550-97671c065bdb,False,5,2020-06-08 06:12:20.574+0000,False,8,False,False,0,NaN,False,False,57,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:15:06.127025,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:15:06.127+0000,False,8,False,False,0,NaN,True,False,222,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:23.495193,False,eee585f7-7558-469c-8550-97671c065bdb,False,0,2020-06-08 06:11:23.495+0000,False,8,False,False,0,NaN,False,False,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:24.244248,False,eee585f7-7558-469c-8550-97671c065bdb,False,1,2020-06-08 06:11:24.244+0000,False,8,False,False,0,NaN,False,False,1,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:17.707286,False,eee585f7-7558-469c-8550-97671c065bdb,True,2,2020-06-08 06:12:17.707+0000,False,8,False,False,0,NaN,True,False,54,1
