id,active_speaker,call_id,connected,datetime,endpoint_recording,hour,initial,onhold,presenter,ringing,week_day_number
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:59.79047,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:12:59.790+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:27.739514,0,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:11:27.739+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:35.589104,0,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:11:35.589+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:20.553503,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:12:20.553+0000,3,8,1,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:20.572505,1,eee585f7-7558-469c-8550-97671c065bdb,3,2020-06-08 06:12:20.572+0000,3,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:38.867351,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:11:38.867+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:15:06.126022,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:15:06.126+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:24.794284,0,eee585f7-7558-469c-8550-97671c065bdb,0,2020-06-08 06:11:24.794+0000,2,8,1,0,0,1,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:14:24.014838,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:14:24.014+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:13:50.057267,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:13:50.057+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:15:48.2212,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:15:48.221+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:25.08131,0,eee585f7-7558-469c-8550-97671c065bdb,1,2020-06-08 06:11:25.081+0000,2,8,0,0,0,1,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:37.884284,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:11:37.884+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:35.0576,2,eee585f7-7558-469c-8550-97671c065bdb,3,2020-06-08 06:12:35.057+0000,3,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:13:41.906656,1,eee585f7-7558-469c-8550-97671c065bdb,3,2020-06-08 06:13:41.906+0000,3,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:26.045917,2,eee585f7-7558-469c-8550-97671c065bdb,3,2020-06-08 06:12:26.045+0000,3,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:23.139169,0,eee585f7-7558-469c-8550-97671c065bdb,0,2020-06-08 06:11:23.139+0000,1,8,1,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:13:37.536326,1,eee585f7-7558-469c-8550-97671c065bdb,3,2020-06-08 06:13:37.536+0000,3,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:11:24.244248,0,eee585f7-7558-469c-8550-97671c065bdb,0,2020-06-08 06:11:24.244+0000,1,8,0,0,0,1,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:16:25.268003,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:16:25.268+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:17.707286,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:12:17.707+0000,2,8,0,0,0,0,1
eee585f7-7558-469c-8550-97671c065bdb2020-06-08 08:12:35.874661,1,eee585f7-7558-469c-8550-97671c065bdb,2,2020-06-08 06:12:35.874+0000,2,8,0,0,0,0,1
